ISO code,Country,Fraction 25-29 dB,Fraction 30-34 dB,Fraction 35-39 dB,Fraction 40-44 dB,Fraction 45-49 dB,Fraction 50-54 dB
AT,Austria,0.001342,0.003916,0.015725,0.063988,0.260885,0.654145
BE,Belgium,0.001432,0.004183,0.01673,0.06726,0.265214,0.64518
BG,Bulgaria,0.001177,0.003435,0.013846,0.057102,0.244889,0.679551
CH,Switzerland,0.001284,0.003751,0.01514,0.061946,0.260698,0.657181
CY,Cyprus,0.002088,0.006159,0.025084,0.096767,0.354358,0.515545
CZ,Czech Republic,0.001489,0.004364,0.017755,0.071739,0.292575,0.612078
DE,Germany,0.001425,0.00417,0.016857,0.068123,0.278499,0.630928
DK,Denmark,0.00161,0.004728,0.019209,0.076541,0.301417,0.596494
EE,Estonia,0.001332,0.003898,0.015814,0.064491,0.271124,0.643341
EL,Greece,0.001251,0.003645,0.014566,0.059559,0.243138,0.677841
ES,Spain,0.001422,0.004146,0.016478,0.066243,0.2544,0.657311
FI,Finland,0.001468,0.004304,0.017498,0.070589,0.288869,0.617272
FR,France,0.001451,0.00425,0.017245,0.0698,0.284199,0.623056
HR,Croatia,0.001353,0.003964,0.016147,0.065827,0.276326,0.636384
HU,Hungary,0.001451,0.004252,0.017252,0.069745,0.286228,0.621071
IE,Ireland,0.001334,0.0039,0.01576,0.064279,0.26831,0.646416
IS,Iceland,0.001387,0.004071,0.016716,0.068391,0.29379,0.615645
IT,Italy,0.001478,0.004323,0.017381,0.06961,0.273934,0.633275
LT,Lithuania,0.001468,0.004301,0.017443,0.070241,0.282463,0.624084
LU,Luxembourg,0.00115,0.003354,0.013553,0.056359,0.248357,0.677227
LV,Latvia,0.001514,0.004442,0.018108,0.072884,0.295542,0.607511
MT,Malta,0.001261,0.003679,0.014758,0.060384,0.252273,0.667645
NL,Netherlands,0.001337,0.003908,0.015815,0.064549,0.270775,0.643617
NO,Norway,0.001536,0.004508,0.018349,0.073722,0.297547,0.604338
PL,Poland,0.001419,0.004156,0.016877,0.068344,0.281698,0.627507
PT,Portugal,0.001344,0.003916,0.015544,0.062804,0.246713,0.669679
RO,Romania,0.00135,0.003941,0.015778,0.063832,0.256685,0.658413
SE,Sweden,0.001656,0.004866,0.019833,0.078786,0.306402,0.588457
SI,Slovenia,0.001416,0.004148,0.016798,0.067737,0.277322,0.632579
SK,Slovakia,0.001584,0.004652,0.019014,0.07645,0.306047,0.592253
