"datenquelle";"quelle";"metrik";"bevoelkerung";"exponierteGesamt_major";"exponierteGesamt_all";"AnzKartierteGemeinden_major";"AnzKartierteGemeinden_all";"bundesland_name"
"Bundesland";"Straße";"lden";"5793607";"815900";NA;"542";NA;"Niedersachsen"
"Bundesland";"Straße";"lnight";"5793607";"523700";NA;"542";NA;"Niedersachsen"
"Bundesland";"Flug";"lden";"2035799";"354060";NA;"33";NA;"Hessen"
"Bundesland";"Flug";"lnight";"2035799";"77240";NA;"33";NA;"Hessen"
"Bundesland";"Industrie";"lden";"1639832";"6336";NA;"6";NA;"Hessen"
"Bundesland";"Industrie";"lnight";"1639832";"4806";NA;"6";NA;"Hessen"
"Bundesland";"Straße";"lden";"1639832";NA;"688104";NA;"6";"Hessen"
"Bundesland";"Straße";"lden";NA;"667358";NA;"419";NA;"Hessen"
"Bundesland";"Straße";"lnight";"1639832";NA;"514053";NA;"6";"Hessen"
"Bundesland";"Straße";"lnight";NA;"434819";NA;"419";NA;"Hessen"
"Bundesland";"Flug";"lden";"883183";"27187";NA;"10";NA;"Baden-Württemberg"
"Bundesland";"Flug";"lnight";"883183";"5398";NA;"10";NA;"Baden-Württemberg"
"Bundesland";"Straße";"lden";"8234745";"1426309";NA;"779";NA;"Baden-Württemberg"
"Bundesland";"Straße";"lnight";"8234745";"842372";NA;"779";NA;"Baden-Württemberg"
"EEA";"Straße";"lden";"469557";"72400";"143300";"2";"2";"Schleswig-Holstein"
"EEA";"Straße";"lnight";"469557";"44700";"97300";"2";"2";"Schleswig-Holstein"
"EEA";"Straße";"lden";"1862565";"449100";"628900";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Straße";"lnight";"1862565";"331700";"448400";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Straße";"lden";"1343533";"304400";"519100";"6";"6";"Niedersachsen"
"EEA";"Straße";"lnight";"1343533";"197000";"328500";"6";"6";"Niedersachsen"
"EEA";"Straße";"lden";"704881";"230300";"356600";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Straße";"lnight";"704881";"167000";"263500";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Straße";"lden";"7815033";"2183900";"3885600";"26";"26";"Nordrhein-Westfalen"
"EEA";"Straße";"lnight";"7815033";"1553900";"2820700";"26";"26";"Nordrhein-Westfalen"
"EEA";"Straße";"lden";"1639832";"491000";"687900";"6";"6";"Hessen"
"EEA";"Straße";"lnight";"1639832";"357100";"514000";"6";"6";"Hessen"
"EEA";"Straße";"lden";"515284";"148900";"231800";"3";"3";"Rheinland-Pfalz"
"EEA";"Straße";"lnight";"515284";"108200";"169900";"3";"3";"Rheinland-Pfalz"
"EEA";"Straße";"lden";"2148596";"374200";"732400";"9";"9";"Baden-Württemberg"
"EEA";"Straße";"lnight";"2148596";"234400";"485500";"9";"9";"Baden-Württemberg"
"EEA";"Straße";"lden";"3009414";"950500";"1137300";"8";"8";"Freistaat Bayern"
"EEA";"Straße";"lnight";"3009414";"660700";"786200";"8";"8";"Freistaat Bayern"
"EEA";"Straße";"lden";"182971";"43600";"72000";"1";"1";"Saarland"
"EEA";"Straße";"lnight";"182971";"31100";"54500";"1";"1";"Saarland"
"EEA";"Straße";"lden";"3685265";"927400";"1172900";"1";"1";"Berlin"
"EEA";"Straße";"lnight";"3685265";"741500";"941900";"1";"1";"Berlin"
"EEA";"Straße";"lden";"184754";"41500";"77400";"1";"1";"Brandenburg"
"EEA";"Straße";"lnight";"184754";"27900";"54100";"1";"1";"Brandenburg"
"EEA";"Straße";"lden";"205307";"40100";"55500";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Straße";"lnight";"205307";"25800";"34100";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Straße";"lden";"1422372";"297400";"469100";"3";"3";"Freistaat Sachsen"
"EEA";"Straße";"lnight";"1422372";"215900";"350400";"3";"3";"Freistaat Sachsen"
"EEA";"Straße";"lden";"471096";"96500";"218000";"2";"2";"Sachsen-Anhalt"
"EEA";"Straße";"lnight";"471096";"66300";"146900";"2";"2";"Sachsen-Anhalt"
